@relation InstanceResultListener

@attribute Key_Dataset {IconsFeatures}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 6 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 8 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 9 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

IconsFeatures,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1739,21803,2423,2181,242,0,90.012381,9.987619,0,0.892412,0.014344,0.119411,10.816866,46.373831,9217.581682,3489.861418,5727.720264,3.804202,1.440306,2.363896,8266.652265,3.411743,217307.206073,0.965517,168,0.007114,16,0.992886,2233,0.034483,6,0.913043,0.965517,0.938547,0.934075,0.979201,0.884035,0.900124,0.007605,0.992395,0.099876,0.900726,0.900124,0.900137,0.892662,0.946259,0.819648,0.898907,0.900124,0.01,22.477,0.015625,22.34375,15.625,22343.75,8488831,8485690,946870,90.012381,7.142857,?
IconsFeatures,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1739,21803,2423,2179,244,0,89.929839,10.070161,0,0.891526,0.014462,0.119903,10.905783,46.565311,9217.318863,3518.686028,5698.632834,3.804094,1.452202,2.351891,8261.082956,3.409444,217160.116963,0.96,168,0.004893,11,0.995107,2237,0.04,7,0.938547,0.96,0.949153,0.945216,0.977553,0.903895,0.899298,0.007685,0.992315,0.100702,0.899643,0.899298,0.899043,0.891551,0.945807,0.817856,0.898283,0.899298,0.006,23.499,0,23,0,23000,8488831,8485690,946870,89.929839,7.142857,?
IconsFeatures,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.174,21803,2423,2175,248,0,89.764754,10.235246,0,0.889741,0.014698,0.120882,11.083508,46.945413,9217.346607,3576.335249,5641.011358,3.804105,1.475995,2.32811,8244.078846,3.402426,216713.201589,0.948276,165,0.005336,12,0.994664,2237,0.051724,9,0.932203,0.948276,0.940171,0.935539,0.97147,0.8877,0.897648,0.007844,0.992156,0.102352,0.898213,0.897648,0.89754,0.889898,0.944902,0.815398,0.896663,0.897648,0.01,30.52,0,25.78125,0,25781.25,8488831,8485690,946870,89.764754,7.142857,?
IconsFeatures,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.174,21803,2423,2196,227,0,90.631449,9.368551,0,0.899077,0.01346,0.115651,10.150421,44.91385,9217.346607,3273.67684,5943.669767,3.804105,1.351084,2.453021,8327.043084,3.436667,218894.09359,0.954023,166,0.007114,16,0.992886,2233,0.045977,8,0.912088,0.954023,0.932584,0.927515,0.973454,0.873455,0.906314,0.007202,0.992798,0.093686,0.906405,0.906314,0.90612,0.899037,0.949556,0.829393,0.905572,0.906314,0.011,26.86,0.015625,23.8125,15.625,23812.5,8488831,8485690,946870,90.631449,7.142857,?
IconsFeatures,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1741,21803,2423,2194,229,0,90.548906,9.451094,0,0.898191,0.013578,0.116159,10.239288,45.111285,9217.336136,3302.50145,5914.834686,3.804101,1.36298,2.44112,8319.301927,3.433472,218690.571535,0.954023,166,0.002223,5,0.997777,2244,0.045977,8,0.97076,0.954023,0.962319,0.959473,0.9759,0.929429,0.905489,0.007237,0.992763,0.094511,0.906298,0.905489,0.905534,0.898466,0.949126,0.828883,0.904854,0.905489,0.009,22.032,0,21.15625,0,21156.25,8488831,8485690,946870,90.548906,7.142857,?
IconsFeatures,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1741,21803,2423,2192,231,0,90.466364,9.533636,0,0.897278,0.013696,0.116665,10.32815,45.307829,9217.35589,3331.326061,5886.029829,3.804109,1.374877,2.429232,8306.298198,3.428105,218348.791985,0.95977,167,0.00667,15,0.99333,2234,0.04023,7,0.917582,0.95977,0.938202,0.93358,0.97655,0.883557,0.904664,0.007413,0.992587,0.095336,0.905215,0.904664,0.904539,0.897447,0.948625,0.826974,0.903462,0.904664,0.009,22.085,0,20.875,0,20875,8488831,8485690,946870,90.466364,7.142857,?
IconsFeatures,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1741,21804,2422,2178,244,0,89.925681,10.074319,0,0.891476,0.014468,0.119928,10.910248,46.574881,9213.559589,3518.701217,5694.858372,3.804112,1.452808,2.351304,8257.124909,3.409218,217056.187845,0.954023,166,0.004448,10,0.995552,2238,0.045977,8,0.943182,0.954023,0.948571,0.944584,0.974787,0.90312,0.899257,0.007732,0.992268,0.100743,0.900906,0.899257,0.899645,0.892131,0.945762,0.818621,0.899086,0.899257,0.007,21.219,0,20.34375,0,20343.75,8489220,8486079,946481,89.925681,7.142857,?
IconsFeatures,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1742,21804,2422,2192,230,0,90.503716,9.496284,0,0.897704,0.013643,0.116436,10.287902,45.218828,9213.69098,3316.928018,5896.762962,3.804166,1.3695,2.434667,8312.403445,3.432041,218509.649439,0.971264,169,0.004448,10,0.995552,2238,0.028736,5,0.944134,0.971264,0.957507,0.954279,0.983408,0.919068,0.905037,0.007299,0.992701,0.094963,0.905376,0.905037,0.905045,0.897808,0.948869,0.82849,0.904571,0.905037,0.006,21.613,0,21.25,0,21250,8489220,8486079,946481,90.503716,7.142857,?
IconsFeatures,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1742,21804,2422,2157,265,0,89.058629,10.941371,0,0.882135,0.015706,0.124982,11.843684,48.537596,9213.69098,3821.361016,5392.329964,3.804166,1.577771,2.226396,8175.280866,3.375426,214905.083447,0.988506,172,0.007117,16,0.992883,2232,0.011494,2,0.914894,0.988506,0.950276,0.947094,0.990694,0.905203,0.890586,0.008423,0.991577,0.109414,0.891983,0.890586,0.890593,0.882547,0.941082,0.803205,0.890175,0.890586,0.008,19.083,0,18.734375,0,18734.375,8489220,8486079,946481,89.058629,7.142857,?
